"COU","Country","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","PEN19B","Effective labour market exit age, women","2020","2020","YR","Years","0","Units",,,60.7,,
"AUT","Austria","PEN20A","Expected years in retirement, men","2020","2020","YR","Years","0","Units",,,21.2,,
"AUT","Austria","PEN20B","Expected years in retirement, women","2020","2020","YR","Years","0","Units",,,25.2,,
"AUT","Austria","PEN23A","Average worker earnings, national currency","2020","2020",,,"0","Units",,,48658.1,,
"AUT","Austria","PEN23B","Average worker earnings, USD market exchange rate","2020","2020","USD","US Dollar","0","Units",,,55577.1,,
"AUT","Austria","PEN27","Projections of public expenditure on pensions (%GDP)","2020","2020","PC","Percentage","0","Units",,,13.9,,
"BEL","Belgium","PEN1A","Current retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"BEL","Belgium","PEN1B","Current retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,65,,
"BEL","Belgium","PEN2A","Future retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,67,,
"BEL","Belgium","PEN2B","Future retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,67,,
"BEL","Belgium","PEN3A","Gross pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.5,,
"BEL","Belgium","PEN3B","Gross pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,43.4,,
"BEL","Belgium","PEN3C","Gross pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,29.2,,
"BEL","Belgium","PEN4A","Gross pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,67.5,,
"BEL","Belgium","PEN4B","Gross pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,43.4,,
"BEL","Belgium","PEN4C","Gross pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,29.2,,
"BEL","Belgium","PEN5A","Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,70.9,,
"BEL","Belgium","PEN5B","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,52.2,,
"BEL","Belgium","PEN5C","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,51.9,,
"BEL","Belgium","PEN7A","Net pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,83,,
"BEL","Belgium","PEN7B","Net pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,61.9,,
"BEL","Belgium","PEN7C","Net pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,43.9,,
"BEL","Belgium","PEN8A","Net pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,83,,
"BEL","Belgium","PEN8B","Net pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,61.9,,
"BEL","Belgium","PEN8C","Net pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,43.9,,
"BEL","Belgium","PEN9A","Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,86.8,,
"BEL","Belgium","PEN9B","Net pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,74.2,,
"BEL","Belgium","PEN9C","Net pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,81.3,,
"BEL","Belgium","PEN10A","Gross pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.9,,
"BEL","Belgium","PEN10B","Gross pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.6,,
"BEL","Belgium","PEN10C","Gross pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.1,,
"BEL","Belgium","PEN11A","Gross pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,13,,
"BEL","Belgium","PEN11C","Gross pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.6,,
"BEL","Belgium","PEN11B","Gross pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,8.4,,
"BEL","Belgium","PEN12A","Net pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,14.6,,
"BEL","Belgium","PEN12B","Net pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,10.9,,
"BEL","Belgium","PEN12C","Net pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.7,,
"BEL","Belgium","PEN13A","Net pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,16,,
"BEL","Belgium","PEN13B","Net pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.9,,
"BEL","Belgium","PEN13C","Net pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,8.5,,
"BEL","Belgium","PEN6A","Tax treatment of pensions and pensioners, Worker at average earnings, men","2020","2020","PC","Percentage","0","Units",,,26.2,,
"BEL","Belgium","PEN6B","Tax treatment of pensions and pensioners, Pensioner (at gross replacement rate of average earnings), men","2020","2020","PC","Percentage","0","Units",,,12.4,,
"BEL","Belgium","PEN6C","Tax treatment of pensions and pensioners, Pensioner (at income equal to average earnings), men","2020","2020","PC","Percentage","0","Units",,,36.6,,
"BEL","Belgium","PEN14","Fertility","2020","2020","CHLD","Children","0","Units",,,1.7,,
"BEL","Belgium","PEN15A","Life expectancy at birth, Men","2020","2020","YR","Years","0","Units",,,79,,
"BEL","Belgium","PEN15B","Life expectancy at birth, Women","2020","2020","YR","Years","0","Units",,,83.7,,
"BEL","Belgium","PEN16A","Life expectancy at 65, Men","2020","2020","YR","Years","0","Units",,,18.4,,
"BEL","Belgium","PEN16B","Life expectancy at 65, Women","2020","2020","YR","Years","0","Units",,,21.6,,
"BEL","Belgium","PEN17A","Employment rate of older workers, 55-59","2020","2020","PC","Percentage","0","Units",,,70.6,,
"BEL","Belgium","PEN17B","Employment rate of older workers, 60-64","2020","2020","PC","Percentage","0","Units",,,34.3,,
"BEL","Belgium","PEN17C","Employment rate of older workers, 65-69","2020","2020","PC","Percentage","0","Units",,,5.8,,
"BEL","Belgium","PEN18","Old-age dependency ratio","2020","2020","PC","Percentage","0","Units",,,33.1,,
"BEL","Belgium","PEN19A","Effective labour market exit age, men","2020","2020","YR","Years","0","Units",,,60.9,,
"BEL","Belgium","PEN19B","Effective labour market exit age, women","2020","2020","YR","Years","0","Units",,,60.1,,
"BEL","Belgium","PEN20A","Expected years in retirement, men","2020","2020","YR","Years","0","Units",,,22.2,,
"BEL","Belgium","PEN20B","Expected years in retirement, women","2020","2020","YR","Years","0","Units",,,26.2,,
"BEL","Belgium","PEN23A","Average worker earnings, national currency","2020","2020",,,"0","Units",,,47720.3,,
"BEL","Belgium","PEN23B","Average worker earnings, USD market exchange rate","2020","2020","USD","US Dollar","0","Units",,,54506,,
"BEL","Belgium","PEN27","Projections of public expenditure on pensions (%GDP)","2020","2020","PC","Percentage","0","Units",,,12.6,,
"CAN","Canada","PEN1A","Current retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"CAN","Canada","PEN1B","Current retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,65,,
"CAN","Canada","PEN2A","Future retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"CAN","Canada","PEN2B","Future retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,65,,
"CAN","Canada","PEN3A","Gross pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,53.2,,
"CAN","Canada","PEN3B","Gross pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,38.8,,
"CAN","Canada","PEN3C","Gross pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,22.3,,
"CAN","Canada","PEN4A","Gross pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,53.2,,
"CAN","Canada","PEN4B","Gross pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,38.8,,
"CAN","Canada","PEN4C","Gross pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,22.3,,
"CAN","Canada","PEN5A","Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,70.9,,
"CAN","Canada","PEN5B","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,63.3,,
"CAN","Canada","PEN5C","Gross pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,46.8,,
"CAN","Canada","PEN7A","Net pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,62,,
"CAN","Canada","PEN7B","Net pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,46.4,,
"CAN","Canada","PEN7C","Net pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,28.4,,
"CAN","Canada","PEN8A","Net pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,62,,
"CAN","Canada","PEN8B","Net pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,46.4,,
"CAN","Canada","PEN8C","Net pension replacement rate, Female, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,28.4,,
"CAN","Canada","PEN9A","Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,76.4,,
"CAN","Canada","PEN9B","Net pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,72,,
"CAN","Canada","PEN9C","Net pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,55.3,,
"CAN","Canada","PEN10A","Gross pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,10,,
"CAN","Canada","PEN10B","Gross pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.3,,
"CAN","Canada","PEN10C","Gross pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,4.2,,
"CAN","Canada","PEN11A","Gross pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,10.3,,
"CAN","Canada","PEN11C","Gross pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,4.3,,
"CAN","Canada","PEN11B","Gross pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,7.5,,
"CAN","Canada","PEN12A","Net pension wealth, Male, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,11.6,,
"CAN","Canada","PEN12B","Net pension wealth, Male, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,8.7,,
"CAN","Canada","PEN12C","Net pension wealth, Male, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.3,,
"CAN","Canada","PEN13A","Net pension wealth, Female, 0.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,12,,
"CAN","Canada","PEN13B","Net pension wealth, Female, 1.00 of AW","2020","2020","RATIO","Ratio","0","Units",,,9,,
"CAN","Canada","PEN13C","Net pension wealth, Female, 1.50 of AW","2020","2020","RATIO","Ratio","0","Units",,,5.5,,
"CAN","Canada","PEN6A","Tax treatment of pensions and pensioners, Worker at average earnings, men","2020","2020","PC","Percentage","0","Units",,,14.8,,
"CAN","Canada","PEN6B","Tax treatment of pensions and pensioners, Pensioner (at gross replacement rate of average earnings), men","2020","2020","PC","Percentage","0","Units",,,8.7,,
"CAN","Canada","PEN6C","Tax treatment of pensions and pensioners, Pensioner (at income equal to average earnings), men","2020","2020","PC","Percentage","0","Units",,,8.7,,
"CAN","Canada","PEN14","Fertility","2020","2020","CHLD","Children","0","Units",,,1.5,,
"CAN","Canada","PEN15A","Life expectancy at birth, Men","2020","2020","YR","Years","0","Units",,,80.2,,
"CAN","Canada","PEN15B","Life expectancy at birth, Women","2020","2020","YR","Years","0","Units",,,84.2,,
"CAN","Canada","PEN16A","Life expectancy at 65, Men","2020","2020","YR","Years","0","Units",,,19.3,,
"CAN","Canada","PEN16B","Life expectancy at 65, Women","2020","2020","YR","Years","0","Units",,,22.2,,
"CAN","Canada","PEN17A","Employment rate of older workers, 55-59","2020","2020","PC","Percentage","0","Units",,,69.6,,
"CAN","Canada","PEN17B","Employment rate of older workers, 60-64","2020","2020","PC","Percentage","0","Units",,,50.6,,
"CAN","Canada","PEN17C","Employment rate of older workers, 65-69","2020","2020","PC","Percentage","0","Units",,,24,,
"CAN","Canada","PEN18","Old-age dependency ratio","2020","2020","PC","Percentage","0","Units",,,29.8,,
"CAN","Canada","PEN19A","Effective labour market exit age, men","2020","2020","YR","Years","0","Units",,,63.9,,
"CAN","Canada","PEN19B","Effective labour market exit age, women","2020","2020","YR","Years","0","Units",,,62.6,,
"CAN","Canada","PEN20A","Expected years in retirement, men","2020","2020","YR","Years","0","Units",,,20.7,,
"CAN","Canada","PEN20B","Expected years in retirement, women","2020","2020","YR","Years","0","Units",,,24.5,,
"CAN","Canada","PEN23A","Average worker earnings, national currency","2020","2020",,,"0","Units",,,57291.6,,
"CAN","Canada","PEN23B","Average worker earnings, USD market exchange rate","2020","2020","USD","US Dollar","0","Units",,,42718.2,,
"CZE","Czech Republic","PEN1A","Current retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,63.7,,
"CZE","Czech Republic","PEN1B","Current retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,63.7,,
"CZE","Czech Republic","PEN2A","Future retirement ages for a person who entered the labour force at age 22, men","2020","2020","YR","Years","0","Units",,,65,,
"CZE","Czech Republic","PEN2B","Future retirement ages for a person who entered the labour force at age 22, women","2020","2020","YR","Years","0","Units",,,65,,
"CZE","Czech Republic","PEN3A","Gross pension replacement rate, Male, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,81.2,,
"CZE","Czech Republic","PEN3B","Gross pension replacement rate, Male, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,49,,
"CZE","Czech Republic","PEN3C","Gross pension replacement rate, Male, 1.50 of AW","2020","2020","PC","Percentage","0","Units",,,32.9,,
"CZE","Czech Republic","PEN4A","Gross pension replacement rate, Female, 0.50 of AW","2020","2020","PC","Percentage","0","Units",,,81.2,,
"CZE","Czech Republic","PEN4B","Gross pension replacement rate, Female, 1.00 of AW","2020","2020","PC","Percentage","0","Units",,,49,,
